"archivo","ubicacion","codigo_postal","localidad","telefono_tienda","fecha","hora","op","factura_simplificada","importe_total","N.C","AID","AUT","ARC","tipos_iva"
"20240625 Mercadona 34,46.pdf","C/ QUART 120","46008","VALENCIA","963824500","25/06/2024","20:19","1471877","2502-015-076326","34,46","098101017","A0000000041010","539999","3030","0%, 10%"
"20240626 Mercadona 17,33 Ôé¼.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","26/06/2024","20:09","3496262","3075-011-861551","17,33","077763746","A0000000041010","385232","3030","0%, 10%, 21%"
"20240626 Mercadona 74,25 .pdf","C/ PINTOR PERIS ARAGÓ 34","46120","ALBORAIA/ALBORAYA","961204862","26/06/2024","20:23","2147134","4523-019-075372","74,25","036426237","A0000000041010","234253","3030","0%, 10%, 21%"
"20240702 Mercadona 187,52 Ôé¼.pdf","C/ VICENTE BRULL 81","46011","VALENCIA","963720901","02/07/2024","21:21","3980229","2457-017-538428","187,52","098100761","A0000000041010","095101","3030","0%, 5%, 10%, 21%"
"20240704 Mercadona 27,67 Ôé¼.pdf","C/ VICENTE BRULL 81","46011","VALENCIA","963720901","04/07/2024","20:16","3980229","2457-016-481518","27,67","098100761","A0000000041010","009827","3030","0%, 10%, 21%"
"20240704 Mercadona 38,42.pdf","C/ QUART 120","46008","VALENCIA","963824500","04/07/2024","20:53","543026","2502-015-080638","38,42","098101017","A0000000041010","196498","3030","0%, 10%"
"20240708 Mercadona 45,11.pdf","C/ QUART 120","46008","VALENCIA","963824500","08/07/2024","20:17","461428","2502-010-562900","45,11","098101017","A0000000041010","656738","3030","0%, 10%"
"20240713 Mercadona 33,03.pdf","C/ QUART 120","46008","VALENCIA","963824500","13/07/2024","12:32","3646731","2502-023-219215","33,03","098101017","A0000000041010","758256","3030","0%, 10%"
"20240723 Mercadona 26,98.pdf","C/ ROGER DE LAURIA 19","46002","VALENCIA","963941051","23/07/2024","20:16","3909565","3856-013-732837","26,98","006646004","A0000000041010","579300","3030","0%, 5%, 10%"
"20240724 Mercadona 55,22 Ôé¼.pdf","C/ VICENTE BRULL 81","46011","VALENCIA","963720901","24/07/2024","20:15","3980229","2457-018-568303","55,22","098100761","A0000000041010","915228","3030","0%, 10%, 21%"
"20240727 Mercadona 68,32 Ôé¼.pdf","C/ MENORCA (C.C. AQUA) 19","46023","VALENCIA","963319378","27/07/2024","11:15","3892295","3075-010-772349","68,32","077763746","A0000000041010","749154","3030","0%, 10%"
"20240729 Mercadona 29,79.pdf","C/ QUART 120","46008","VALENCIA","963824500","29/07/2024","20:07","461428","2502-010-573802","29,79","098101017","A0000000041010","466154","3030","0%, 5%, 10%"
"20240803 Mercadona 39,39 Ôé¼.pdf","C/ REYES CATÓLICOS 18","46450","BENIFAIO","961794334","03/08/2024","13:05","1272876","2660-022-295176","39,39","098102650","A0000000031010","713793","3030","0%, 10%, 21%"
"20240803 Mercadona 4,84 Ôé¼.pdf","C/ GENERAL AVILÉS 79","46015","VALENCIA","963462056","03/08/2024","18:53","112684","3106-011-834976","4,84","003990058","A0000000041010","032498","3030","0%"
