"Descripcion","P.Unit","Peso","Importe","Tipo_peso","factura_simplificada"
"DONACIÓN                     ",1,NA,NA,NA,"2916-010-520925"
"DONACIÓN                     ",1,NA,NA,NA,"2916-010-520925"
"DONACIÓN                     ",1,NA,NA,NA,"2916-010-520925"
"DONACIÓN                     ",1,NA,NA,NA,"2916-010-520925"
"DONACIÓN                     ",1,NA,NA,NA,"2916-010-520925"
"BARREÑO",2.2,NA,NA,NA,"2916-010-520925"
"PALO ANTIDESLIZANTE          ",1.9,NA,NA,NA,"2916-010-520925"
"PALO ANTIDESLIZANTE          ",1.9,NA,NA,NA,"2916-010-520925"
"PALO ANTIDESLIZANTE          ",1.9,NA,NA,NA,"2916-010-520925"
"MULTIUSOS",2.55,NA,NA,NA,"2916-010-520925"
"AGUA MINERAL                 ",0.73,NA,NA,NA,"2916-010-520925"
"AGUA MINERAL                 ",0.73,NA,NA,NA,"2916-010-520925"
"B.BASURA EXT.C.FÁCIL         ",1.6,NA,NA,NA,"2916-010-520925"
"B.BASURA EXT.C.FÁCIL         ",1.6,NA,NA,NA,"2916-010-520925"
"ESCURRE FÁCIL",2.85,NA,NA,NA,"2916-010-520925"
"CUBO FREGAR C/RUEDAS",3.85,NA,NA,NA,"2916-010-520925"
"FRIEGASUELOS PINO",0.95,NA,NA,NA,"2916-010-520925"
"FIBRAS CRUZADAS              ",2.1,NA,NA,NA,"2916-010-520925"
"FIBRAS CRUZADAS              ",2.1,NA,NA,NA,"2916-010-520925"
"LOTE BAYETAS SUAVES",1.2,NA,NA,NA,"2916-010-520925"
"FREGONA HILO MIR.",2.8,NA,NA,NA,"2916-010-520925"
"LOTE 3 BAYETAS MICRO",1.8,NA,NA,NA,"2916-010-520925"
"PARKING",0,NA,NA,NA,"2916-010-520925"
"1/2 POLLO PARTIDO",4.34,NA,NA,NA,"2233-011-451305"
"1/2 CONEJO TROCEADO",5.13,NA,NA,NA,"2233-011-451305"
"POLLO ENTERO LIMPIO",6.89,NA,NA,NA,"2233-011-451305"
"ALBONDIGAS 24 UNID.",4.55,NA,NA,NA,"2233-011-451305"
"GARROFON",1.2,NA,NA,NA,"2233-011-451305"
"AJOS TIERNOS",1.97,NA,NA,NA,"2233-011-451305"
"MEJILLON",3.2,NA,NA,NA,"2233-011-451305"
"AGUACATE BANDEJA",3.6,NA,NA,NA,"2233-011-451305"
"PIMIENTA NEGRA GRANO",1.45,NA,NA,NA,"2233-011-451305"
"QUESO AÑEJO ROMERO",5.72,NA,NA,NA,"2233-011-451305"
"Q. VIEJO INTENSO",4.73,NA,NA,NA,"2233-011-451305"
"COPOS DE AVENA",0.95,NA,NA,NA,"2233-011-451305"
"CERVEZA",6.12,NA,NA,NA,"2233-011-451305"
"PAT. CLASSICAS",1.75,NA,NA,NA,"2233-011-451305"
"PAN CRISTAL 4 UDS",2.15,NA,NA,NA,"2233-011-451305"
"T CHOCO CRUJIENTE",1.6,NA,NA,NA,"2233-011-451305"
"T.CHOCOLATE NEGRO",1.95,NA,NA,NA,"2233-011-451305"
"ARROZ INTEGRAL",1.7,NA,NA,NA,"2233-011-451305"
"AVELLANA TOSTADA",3.1,NA,NA,NA,"2233-011-451305"
"CACAHUETE SIN SAL",1.6,NA,NA,NA,"2233-011-451305"
"CHÍA",1.35,NA,NA,NA,"2233-011-451305"
"LAVAVAJILLAS QUANTUM",3.75,NA,NA,NA,"2233-011-451305"
"TOMATE TRITURADO                     ",0.75,NA,NA,NA,"2233-011-451305"
"TOMATE TRITURADO                     ",0.75,NA,NA,NA,"2233-011-451305"
"ALTRAMUCES",1.75,NA,NA,NA,"2233-011-451305"
"TOMATE TRITURADO",1,NA,NA,NA,"2233-011-451305"
"NUEZ CASCARA NATURAL",2.9,NA,NA,NA,"2233-011-451305"
"ANACARDO NATURAL",2.3,NA,NA,NA,"2233-011-451305"
"C 0,0 TOSTADA P-6",6.9,NA,NA,NA,"2233-011-451305"
"COL LOMBARDA",1.85,0.84,1.55,"Verdura y Frutas","2233-011-451305"
"T.CHOCOLATE NEGRO",1.95,NA,NA,NA,"2233-011-452354"
"T CHOCO CRUJIENTE                  ",1.6,NA,NA,NA,"2233-011-452354"
"T CHOCO CRUJIENTE                  ",1.6,NA,NA,NA,"2233-011-452354"
"PAN REDONDO SEMILLAS",1.75,NA,NA,NA,"2233-011-452354"
"Q. RALLADO EMMENTAL",1.63,NA,NA,NA,"2233-011-452354"
"SALMÓN AHUMADO",3.53,NA,NA,NA,"2233-011-452354"
"FILETE EMPANAR",7.56,NA,NA,NA,"2233-011-452354"
"JAMÓN SERRANO SOBRE",4.1,NA,NA,NA,"2233-011-452354"
"QUESO RALLADO PIZZA",1.54,NA,NA,NA,"2233-011-452354"
"GUISANTE FINO",1.6,NA,NA,NA,"2233-011-452354"
"SALTEADO DE SETAS",1.65,NA,NA,NA,"2233-011-452354"
"TIRAS DE POTON",4.45,NA,NA,NA,"2233-011-452354"
"GAMBA PELADA CRUDA",4.95,NA,NA,NA,"2233-011-452354"
"GAZPACHO MANCHEGO",2.5,NA,NA,NA,"2233-011-452354"
"COPOS DE AVENA                     ",0.95,NA,NA,NA,"2233-011-452354"
"COPOS DE AVENA                     ",0.95,NA,NA,NA,"2233-011-452354"
"PATATA 3 KG",4.3,NA,NA,NA,"2233-011-452354"
"ZANAHORIA BOLSA",1.09,NA,NA,NA,"2233-011-452354"
"CHAMPIÑON BANDEJA P",1.53,NA,NA,NA,"2233-011-452354"
"GARBANZO M.COCIDO                  ",0.71,NA,NA,NA,"2233-011-452354"
"GARBANZO M.COCIDO                  ",0.71,NA,NA,NA,"2233-011-452354"
"GARBANZO M.COCIDO                  ",0.71,NA,NA,NA,"2233-011-452354"
"CALDO CASERO PESCADO",1.15,NA,NA,NA,"2233-011-452354"
"MACARRON",1.24,NA,NA,NA,"2233-011-452354"
"SPAGHETTI",1.24,NA,NA,NA,"2233-011-452354"
"TIBURON",0.76,NA,NA,NA,"2233-011-452354"
"PEPINO",1.89,0.224,0.42,"Verdura y Frutas","2233-011-452354"
"BANANA",1.45,0.45,0.65,"Verdura y Frutas","2233-011-452354"
"MANGO",3.19,0.37,1.18,"Verdura y Frutas","2233-011-452354"
"CAFE MOLIDO NATURAL",3.2,NA,NA,NA,"4530-017-211832"
"LAVAVAJILLAS ULTRA",1.9,NA,NA,NA,"4530-017-211832"
"CEBOLLA 2 KG",2.79,NA,NA,NA,"4530-017-211832"
"CACAHUETE SIN SAL",1.6,NA,NA,NA,"4530-017-211832"
"NUEZ CASCARA NATURAL",2.9,NA,NA,NA,"4530-017-211832"
"40 B. CONG. MEDIANAS",0.85,NA,NA,NA,"4530-017-211832"
"BOLSAS.G CONGELADO",1.1,NA,NA,NA,"4530-017-211832"
"PISTACHO TOST 0% SAL",3.35,NA,NA,NA,"4530-017-211832"
"AVELLANA TOSTADA",3.1,NA,NA,NA,"4530-017-211832"
"PAÑUELO CAJA                         ",1.3,NA,NA,NA,"4530-017-211832"
"PAÑUELO CAJA                         ",1.3,NA,NA,NA,"4530-017-211832"
"NARANJA 5 KG.",5.95,NA,NA,NA,"4530-017-211832"
"MEJILLON",3.2,NA,NA,NA,"2233-010-731651"
"PATATA 5 KG",6.49,NA,NA,NA,"3075-010-680549"
"BROTES TIERNOS MAXI",1.59,NA,NA,NA,"3075-010-680549"
"CEBOLLA TIERNA",1.29,NA,NA,NA,"3075-010-680549"
"ALCACHOFA BABY                     ",2.9,NA,NA,NA,"3075-010-680549"
"ALCACHOFA BABY                     ",2.9,NA,NA,NA,"3075-010-680549"
"200 SERVIL. BLANCAS",1.3,NA,NA,NA,"3075-010-680549"
"UVA BLANCA S/SEM",2.86,NA,NA,NA,"3075-010-680549"
"ATÚN CLARO OLIVA PK6",5.25,NA,NA,NA,"3075-010-680549"
"QUESO FRESCO CABRA",2.77,NA,NA,NA,"3075-010-680549"
"ACEITE VIRGEN EXTRA",3.1,NA,NA,NA,"3075-010-680549"
"CORAZONES COGOLLO",1,NA,NA,NA,"3075-010-680549"
"BARQUILLO NATA",1,NA,NA,NA,"3075-010-680549"
"BLUE II SLALOM 6",3.4,NA,NA,NA,"3075-010-680549"
"BARQUILLO TURRON VIE",1.5,NA,NA,NA,"3075-010-680549"
"MAQUIN.BLUE II PLUS",8,NA,NA,NA,"3075-010-680549"
"TOM. RECETA ARTESANA",2.1,NA,NA,NA,"3075-010-680549"
"AGUACATE BANDEJA",2.95,NA,NA,NA,"3075-010-680549"
"AJO SECO 250 G",1.55,NA,NA,NA,"3075-010-680549"
"TORTILLAS MEXICANAS",1.3,NA,NA,NA,"3075-010-680549"
"TORTITA MAIZ C/CHOCO",1.6,NA,NA,NA,"3075-010-680549"
"PLATANO",1.99,0.858,1.71,"Verdura y Frutas","3075-010-680549"
"PATATA 5 KG",6.49,NA,NA,NA,"3075-010-680549"
"BROTES TIERNOS MAXI",1.59,NA,NA,NA,"3075-010-680549"
"CEBOLLA TIERNA",1.29,NA,NA,NA,"3075-010-680549"
"ALCACHOFA BABY                     ",2.9,NA,NA,NA,"3075-010-680549"
"ALCACHOFA BABY                     ",2.9,NA,NA,NA,"3075-010-680549"
"200 SERVIL. BLANCAS",1.3,NA,NA,NA,"3075-010-680549"
"UVA BLANCA S/SEM",2.86,NA,NA,NA,"3075-010-680549"
"ATÚN CLARO OLIVA PK6",5.25,NA,NA,NA,"3075-010-680549"
"QUESO FRESCO CABRA",2.77,NA,NA,NA,"3075-010-680549"
"ACEITE VIRGEN EXTRA",3.1,NA,NA,NA,"3075-010-680549"
"CORAZONES COGOLLO",1,NA,NA,NA,"3075-010-680549"
"BARQUILLO NATA",1,NA,NA,NA,"3075-010-680549"
"BLUE II SLALOM 6",3.4,NA,NA,NA,"3075-010-680549"
"BARQUILLO TURRON VIE",1.5,NA,NA,NA,"3075-010-680549"
"MAQUIN.BLUE II PLUS",8,NA,NA,NA,"3075-010-680549"
"TOM. RECETA ARTESANA",2.1,NA,NA,NA,"3075-010-680549"
"AGUACATE BANDEJA",2.95,NA,NA,NA,"3075-010-680549"
"AJO SECO 250 G",1.55,NA,NA,NA,"3075-010-680549"
"TORTILLAS MEXICANAS",1.3,NA,NA,NA,"3075-010-680549"
"TORTITA MAIZ C/CHOCO",1.6,NA,NA,NA,"3075-010-680549"
"PLATANO",1.99,0.858,1.71,"Verdura y Frutas","3075-010-680549"
"HARINA DE FUERZA                    ",0.91,NA,NA,NA,"2233-024-036352"
"HARINA DE FUERZA                    ",0.91,NA,NA,NA,"2233-024-036352"
"HARINA DE FUERZA                    ",0.91,NA,NA,NA,"2233-024-036352"
"TOFU",1.9,NA,NA,NA,"2233-024-036352"
"ESPINACAS",1.2,NA,NA,NA,"2233-024-036352"
"CRISTALES MULTIUSOS",1.1,NA,NA,NA,"2233-024-036352"
"LEVADURA FRESCA                    ",0.45,NA,NA,NA,"2233-024-036352"
"LEVADURA FRESCA                    ",0.45,NA,NA,NA,"2233-024-036352"
"TOMATE MALLA 2 KG.",3.7,NA,NA,NA,"2233-024-036352"
"CHAMPÚ CURL PERFECT",2.35,NA,NA,NA,"2233-024-036352"
"ANGURIÑAS 260GR",2.3,NA,NA,NA,"2233-024-036352"
"MEJILLON",3.2,NA,NA,NA,"2233-024-036352"
"18 HUEVOS CODORNIZ",1.65,NA,NA,NA,"2233-024-036352"
"T.CHOCOLATE NEGRO",1.75,NA,NA,NA,"2233-024-036352"
"T.CHOCO CACAHUE.MIEL",1.4,NA,NA,NA,"2233-024-036352"
"T CHOCO CRUJIENTE",1.6,NA,NA,NA,"2233-024-036352"
"CHAMPIÑON BANDEJA P",1.31,NA,NA,NA,"2233-024-036352"
"ÑORAS",1.4,NA,NA,NA,"2233-024-036352"
"BOGAVANTE CRUDO",14.85,NA,NA,NA,"2233-024-036352"
"KIWI VERDE BANDEJA",3,NA,NA,NA,"2233-024-036352"
"MANDARINA 2 KG",3.38,NA,NA,NA,"2233-024-036352"
"COLGATE ANTICARIES",1.95,NA,NA,NA,"2233-024-036352"
"PAN REDONDO SEMILLAS",1.75,NA,NA,NA,"2233-024-036352"
"AJO SECO 250 G",1.55,NA,NA,NA,"2233-024-036352"
"EDP ROSE NUDE",9,NA,NA,NA,"2233-024-036352"
"GAMBÓN",9.45,0.262,2.48,"Pescado","2233-024-036352"
"BANANA",1.45,1.336,1.94,"Verdura y Frutas","2233-024-036352"
"SUAVIZANTE AZUL",1.85,NA,NA,NA,"3095-015-301952"
"HARINA DE TRIGO.",0.7,NA,NA,NA,"3095-015-301952"
"CERV. RADLER 0,0 P12",6.6,NA,NA,NA,"3095-015-301952"
"MERMELADA MELOCOTON",3,NA,NA,NA,"3095-015-301952"
"CERVEZA 0,0%",4.2,NA,NA,NA,"3095-015-301952"
"GASIFICANTE REPOSTER",0.7,NA,NA,NA,"3095-015-301952"
"12 HUEVOS SUPER GRAN",3.25,NA,NA,NA,"3095-015-301952"
"UVA BLANCA S/SEM",2.84,NA,NA,NA,"3095-015-301952"
"BIF 0% NAT ED CREM",1.55,NA,NA,NA,"3095-015-301952"
"CHAPATA CRISTAL                      ",0.35,NA,NA,NA,"3095-015-301952"
"CHAPATA CRISTAL                      ",0.35,NA,NA,NA,"3095-015-301952"
"CHAPATA CRISTAL                      ",0.35,NA,NA,NA,"3095-015-301952"
"CHAPATA CRISTAL                      ",0.35,NA,NA,NA,"3095-015-301952"
"LAVAVAJILLA TODO 1",3,NA,NA,NA,"3095-015-301952"
"100 % TRIGO ESPELTA                  ",1.5,NA,NA,NA,"3095-015-301952"
"100 % TRIGO ESPELTA                  ",1.5,NA,NA,NA,"3095-015-301952"
"PIÑA PELADA NATURAL",2.88,NA,NA,NA,"3095-015-301952"
"MANZANA GOLDEN",1.49,1.694,2.52,"Verdura y Frutas","3095-015-301952"
"SUAVIZANTE AZUL",1.85,NA,NA,NA,"3095-015-301952"
"HARINA DE TRIGO.",0.7,NA,NA,NA,"3095-015-301952"
"CERV. RADLER 0,0 P12",6.6,NA,NA,NA,"3095-015-301952"
"MERMELADA MELOCOTON",3,NA,NA,NA,"3095-015-301952"
"CERVEZA 0,0%",4.2,NA,NA,NA,"3095-015-301952"
"GASIFICANTE REPOSTER",0.7,NA,NA,NA,"3095-015-301952"
"12 HUEVOS SUPER GRAN",3.25,NA,NA,NA,"3095-015-301952"
"UVA BLANCA S/SEM",2.84,NA,NA,NA,"3095-015-301952"
"BIF 0% NAT ED CREM",1.55,NA,NA,NA,"3095-015-301952"
"CHAPATA CRISTAL                      ",0.35,NA,NA,NA,"3095-015-301952"
"CHAPATA CRISTAL                      ",0.35,NA,NA,NA,"3095-015-301952"
"CHAPATA CRISTAL                      ",0.35,NA,NA,NA,"3095-015-301952"
"CHAPATA CRISTAL                      ",0.35,NA,NA,NA,"3095-015-301952"
"LAVAVAJILLA TODO 1",3,NA,NA,NA,"3095-015-301952"
"100 % TRIGO ESPELTA                  ",1.5,NA,NA,NA,"3095-015-301952"
"100 % TRIGO ESPELTA                  ",1.5,NA,NA,NA,"3095-015-301952"
"PIÑA PELADA NATURAL",2.88,NA,NA,NA,"3095-015-301952"
"MANZANA GOLDEN",1.49,1.694,2.52,"Verdura y Frutas","3095-015-301952"
"NARANJA 5 KG.",5.95,NA,NA,NA,"4478-018-148652"
"COSTILLA CARNOSA",5.16,NA,NA,NA,"4478-018-148652"
"PANCETA",4.06,NA,NA,NA,"4478-018-148652"
"CHULETAS PALETILLA",8.59,NA,NA,NA,"4478-018-148652"
"MORCILLA CEB. OREADA",1.16,NA,NA,NA,"4478-018-148652"
"LONGANIZA MAGRO FRES",1.91,NA,NA,NA,"4478-018-148652"
"MANTEQUILLA PAST.SIN",1.9,NA,NA,NA,"4478-018-148652"
"CHORIZO PICANTE",2.52,NA,NA,NA,"4478-018-148652"
"CALDO PESCADO",1.15,NA,NA,NA,"4478-018-148652"
"BACON",2.02,NA,NA,NA,"4478-018-148652"
"BURGER VACUNO",4.4,NA,NA,NA,"4478-018-148652"
"MUSLO DESHUESADO",2.72,NA,NA,NA,"4478-018-148652"
"QUESO RALLADO PIZZA",1.54,NA,NA,NA,"4478-018-148652"
"Q. RALLADO EMMENTAL",1.63,NA,NA,NA,"4478-018-148652"
"BURGER ESPINACAS",2.4,NA,NA,NA,"4478-018-148652"
"MASA DE HOJALDRE",2.5,NA,NA,NA,"4478-018-148652"
"ACEITUNA CHUPADEDOS",3,NA,NA,NA,"4478-018-148652"
"ALLIOLI TARRINA",1.1,NA,NA,NA,"4478-018-148652"
"QUESO GRANA PADANO",2.85,NA,NA,NA,"4478-018-148652"
"HUMMUS CLASICO",1.05,NA,NA,NA,"4478-018-148652"
"COLA SIN CAFEINA                      ",0.85,NA,NA,NA,"4478-018-148652"
"COLA SIN CAFEINA                      ",0.85,NA,NA,NA,"4478-018-148652"
"COLA SIN CAFEINA                      ",0.85,NA,NA,NA,"4478-018-148652"
"COLA SIN CAFEINA                      ",0.85,NA,NA,NA,"4478-018-148652"
"COLA SIN CAFEINA                      ",0.85,NA,NA,NA,"4478-018-148652"
"COLA SIN CAFEINA                      ",0.85,NA,NA,NA,"4478-018-148652"
"COLA SIN CAFEINA                      ",0.85,NA,NA,NA,"4478-018-148652"
"COLA SIN CAFEINA                      ",0.85,NA,NA,NA,"4478-018-148652"
"C 0,0 TOSTADA P-6",6.9,NA,NA,NA,"4478-018-148652"
"PAT. CLASSICAS",1.75,NA,NA,NA,"4478-018-148652"
"NUEZ CASCARA NATURAL",2.9,NA,NA,NA,"4478-018-148652"
"TOMATE SECO ACEITE",2.3,NA,NA,NA,"4478-018-148652"
"BARRA CAMPESINA",0.7,NA,NA,NA,"4478-018-148652"
"FIDEUA CURVA",0.76,NA,NA,NA,"4478-018-148652"
"PISTACHO TOST 0% SAL",3.35,NA,NA,NA,"4478-018-148652"
"CACAHUETE SIN SAL",1.6,NA,NA,NA,"4478-018-148652"
"ANACARDO NATURAL",2.3,NA,NA,NA,"4478-018-148652"
"COPOS DE AVENA                        ",0.95,NA,NA,NA,"4478-018-148652"
"COPOS DE AVENA                        ",0.95,NA,NA,NA,"4478-018-148652"
"COPOS DE AVENA                        ",0.95,NA,NA,NA,"4478-018-148652"
"AVELLANA TOSTADA",3.1,NA,NA,NA,"4478-018-148652"
"CEPILLO PACK-3 MEDIO",1,NA,NA,NA,"4478-018-148652"
"GARBANZO M.COCIDO                     ",0.71,NA,NA,NA,"4478-018-148652"
"GARBANZO M.COCIDO                     ",0.71,NA,NA,NA,"4478-018-148652"
"GARBANZO M.COCIDO                     ",0.71,NA,NA,NA,"4478-018-148652"
"LENTEJA COCIDA                        ",0.75,NA,NA,NA,"4478-018-148652"
"LENTEJA COCIDA                        ",0.75,NA,NA,NA,"4478-018-148652"
"DEO ROLL.ON HOMBRE",1.9,NA,NA,NA,"4478-018-148652"
"GEL HIDRATANTE",2.7,NA,NA,NA,"4478-018-148652"
"LAVAVAJILLAS QUANTUM",3.75,NA,NA,NA,"4478-018-148652"
"CERVEZA TOSTADA P12",6.12,NA,NA,NA,"4478-018-148652"
"ZANAHORIA BOLSA",1.09,NA,NA,NA,"3075-015-438485"
"CEBOLLA 2 KG",2.79,NA,NA,NA,"3075-015-438485"
"LECHE-SEMIDESNATADA.               ",1.29,NA,NA,NA,"3075-015-438485"
"LECHE-SEMIDESNATADA.               ",1.29,NA,NA,NA,"3075-015-438485"
"JUDÍA 750 GR",2.5,NA,NA,NA,"3075-015-438485"
"TOMATE FRITO S/AZUCA               ",1.2,NA,NA,NA,"3075-015-438485"
"TOMATE FRITO S/AZUCA               ",1.2,NA,NA,NA,"3075-015-438485"
"LECHE DESNAT. CALCIO               ",0.94,NA,NA,NA,"3075-015-438485"
"LECHE DESNAT. CALCIO               ",0.94,NA,NA,NA,"3075-015-438485"
"LECHE DESNAT. CALCIO               ",0.94,NA,NA,NA,"3075-015-438485"
"LECHE DESN S/LACT                  ",0.93,NA,NA,NA,"3075-015-438485"
"LECHE DESN S/LACT                  ",0.93,NA,NA,NA,"3075-015-438485"
"LECHE DESN S/LACT                  ",0.93,NA,NA,NA,"3075-015-438485"
"CAFÉ SOLUBLE CLASSIC",2.5,NA,NA,NA,"3075-015-438485"
"INFUSION DORMIR",1.05,NA,NA,NA,"3075-015-438485"
"ARROZ BASMATI",2.54,NA,NA,NA,"3075-015-438485"
"QUESO FRESCO CABRA",2.77,NA,NA,NA,"3075-015-438485"
"ZANAHORIA BOLSA",1.09,NA,NA,NA,"3075-015-438485"
"CEBOLLA 2 KG",2.79,NA,NA,NA,"3075-015-438485"
"LECHE-SEMIDESNATADA.               ",1.29,NA,NA,NA,"3075-015-438485"
"LECHE-SEMIDESNATADA.               ",1.29,NA,NA,NA,"3075-015-438485"
"JUDÍA 750 GR",2.5,NA,NA,NA,"3075-015-438485"
"TOMATE FRITO S/AZUCA               ",1.2,NA,NA,NA,"3075-015-438485"
"TOMATE FRITO S/AZUCA               ",1.2,NA,NA,NA,"3075-015-438485"
"LECHE DESNAT. CALCIO               ",0.94,NA,NA,NA,"3075-015-438485"
"LECHE DESNAT. CALCIO               ",0.94,NA,NA,NA,"3075-015-438485"
"LECHE DESNAT. CALCIO               ",0.94,NA,NA,NA,"3075-015-438485"
"LECHE DESN S/LACT                  ",0.93,NA,NA,NA,"3075-015-438485"
"LECHE DESN S/LACT                  ",0.93,NA,NA,NA,"3075-015-438485"
"LECHE DESN S/LACT                  ",0.93,NA,NA,NA,"3075-015-438485"
"CAFÉ SOLUBLE CLASSIC",2.5,NA,NA,NA,"3075-015-438485"
"INFUSION DORMIR",1.05,NA,NA,NA,"3075-015-438485"
"ARROZ BASMATI",2.54,NA,NA,NA,"3075-015-438485"
"QUESO FRESCO CABRA",2.77,NA,NA,NA,"3075-015-438485"
"TOA.BEBE FRESCAS 240         ",3,NA,NA,NA,"2916-018-426836"
"TOA.BEBE FRESCAS 240         ",3,NA,NA,NA,"2916-018-426836"
"CAFE G.AROMA MZ              ",2.99,NA,NA,NA,"2916-018-426836"
"CAFE G.AROMA MZ              ",2.99,NA,NA,NA,"2916-018-426836"
"CAFE G.AROMA MZ              ",2.99,NA,NA,NA,"2916-018-426836"
"CACAHUETE FRITO              ",1.3,NA,NA,NA,"2916-018-426836"
"CACAHUETE FRITO              ",1.3,NA,NA,NA,"2916-018-426836"
"MASA FILO                    ",2,NA,NA,NA,"2916-018-426836"
"MASA FILO                    ",2,NA,NA,NA,"2916-018-426836"
"MASA FILO                    ",2,NA,NA,NA,"2916-018-426836"
"TOALLITAS ANTITRANSF         ",1.95,NA,NA,NA,"2916-018-426836"
"TOALLITAS ANTITRANSF         ",1.95,NA,NA,NA,"2916-018-426836"
"TOALLITAS ANTITRANSF         ",1.95,NA,NA,NA,"2916-018-426836"
"TOALLITAS ANTITRANSF         ",1.95,NA,NA,NA,"2916-018-426836"
"PARKING",0,NA,NA,NA,"2916-018-426836"
"MOJAMA TACO SUPERIOR",7.46,NA,NA,NA,"4347-013-224145"
"PATATAS EXTRACRUNCH                  ",1.3,NA,NA,NA,"4347-013-224145"
"PATATAS EXTRACRUNCH                  ",1.3,NA,NA,NA,"4347-013-224145"
"SNACK PIPAS",1.35,NA,NA,NA,"4347-013-224145"
"EMBUTIDO LONCHEADO",3.18,NA,NA,NA,"4347-013-224145"
"MINI BISCOTTE NORMAL",0.8,NA,NA,NA,"4347-013-224145"
"LS ENS PEQUEÑA",3.5,NA,NA,NA,"4347-013-224145"
"LS FIDEUÁ                            ",4.75,NA,NA,NA,"4347-013-224145"
"LS FIDEUÁ                            ",4.75,NA,NA,NA,"4347-013-224145"
"LS ARROZ AL HORNO                    ",4.5,NA,NA,NA,"4347-013-224145"
"LS ARROZ AL HORNO                    ",4.5,NA,NA,NA,"4347-013-224145"
"PAN DE PUEBLO",1.5,NA,NA,NA,"4347-013-224145"
"ISOTÓNICA LIMÓN                      ",0.8,NA,NA,NA,"4347-013-224145"
"ISOTÓNICA LIMÓN                      ",0.8,NA,NA,NA,"4347-013-224145"
"ISOTÓNICA LIMÓN                      ",0.8,NA,NA,NA,"4347-013-224145"
"ISOTÓNICA LIMÓN                      ",0.8,NA,NA,NA,"4347-013-224145"
"ISOTÓNICA LIMÓN                      ",0.8,NA,NA,NA,"4347-013-224145"
"BRONCHALES 1,5L                      ",0.37,NA,NA,NA,"4347-013-224145"
"BRONCHALES 1,5L                      ",0.37,NA,NA,NA,"4347-013-224145"
"BRONCHALES 1,5L                      ",0.37,NA,NA,NA,"4347-013-224145"
"CERVEZA TRIGO PACK 6",6.9,NA,NA,NA,"4347-013-224145"
"TOMATE NATURAL RALLA",1.39,NA,NA,NA,"4347-013-224145"
"FOIE ENTERO",8.3,NA,NA,NA,"4347-013-224145"
"CERV. RADLER 0,0                     ",0.59,NA,NA,NA,"4347-013-224145"
"CERV. RADLER 0,0                     ",0.59,NA,NA,NA,"4347-013-224145"
"CERV. RADLER 0,0                     ",0.59,NA,NA,NA,"4347-013-224145"
"CERV. RADLER 0,0                     ",0.59,NA,NA,NA,"4347-013-224145"
"COLA REGULAR 0,5L                    ",1.39,NA,NA,NA,"4347-013-224145"
"COLA REGULAR 0,5L                    ",1.39,NA,NA,NA,"4347-013-224145"
"LIMON",1.99,0.286,0.57,"Verdura y Frutas","4347-013-224145"
"MOJAMA TACO SUPERIOR",7.46,NA,NA,NA,"4347-013-224145"
"PATATAS EXTRACRUNCH                  ",1.3,NA,NA,NA,"4347-013-224145"
"PATATAS EXTRACRUNCH                  ",1.3,NA,NA,NA,"4347-013-224145"
"SNACK PIPAS",1.35,NA,NA,NA,"4347-013-224145"
"EMBUTIDO LONCHEADO",3.18,NA,NA,NA,"4347-013-224145"
"MINI BISCOTTE NORMAL",0.8,NA,NA,NA,"4347-013-224145"
"LS ENS PEQUEÑA",3.5,NA,NA,NA,"4347-013-224145"
"LS FIDEUÁ                            ",4.75,NA,NA,NA,"4347-013-224145"
"LS FIDEUÁ                            ",4.75,NA,NA,NA,"4347-013-224145"
"LS ARROZ AL HORNO                    ",4.5,NA,NA,NA,"4347-013-224145"
"LS ARROZ AL HORNO                    ",4.5,NA,NA,NA,"4347-013-224145"
"PAN DE PUEBLO",1.5,NA,NA,NA,"4347-013-224145"
"ISOTÓNICA LIMÓN                      ",0.8,NA,NA,NA,"4347-013-224145"
"ISOTÓNICA LIMÓN                      ",0.8,NA,NA,NA,"4347-013-224145"
"ISOTÓNICA LIMÓN                      ",0.8,NA,NA,NA,"4347-013-224145"
"ISOTÓNICA LIMÓN                      ",0.8,NA,NA,NA,"4347-013-224145"
"ISOTÓNICA LIMÓN                      ",0.8,NA,NA,NA,"4347-013-224145"
"BRONCHALES 1,5L                      ",0.37,NA,NA,NA,"4347-013-224145"
"BRONCHALES 1,5L                      ",0.37,NA,NA,NA,"4347-013-224145"
"BRONCHALES 1,5L                      ",0.37,NA,NA,NA,"4347-013-224145"
"CERVEZA TRIGO PACK 6",6.9,NA,NA,NA,"4347-013-224145"
"TOMATE NATURAL RALLA",1.39,NA,NA,NA,"4347-013-224145"
"FOIE ENTERO",8.3,NA,NA,NA,"4347-013-224145"
"CERV. RADLER 0,0                     ",0.59,NA,NA,NA,"4347-013-224145"
"CERV. RADLER 0,0                     ",0.59,NA,NA,NA,"4347-013-224145"
"CERV. RADLER 0,0                     ",0.59,NA,NA,NA,"4347-013-224145"
"CERV. RADLER 0,0                     ",0.59,NA,NA,NA,"4347-013-224145"
"COLA REGULAR 0,5L                    ",1.39,NA,NA,NA,"4347-013-224145"
"COLA REGULAR 0,5L                    ",1.39,NA,NA,NA,"4347-013-224145"
"LIMON",1.99,0.286,0.57,"Verdura y Frutas","4347-013-224145"
"DETERGENTE BLA/COL",5.65,NA,NA,NA,"3075-011-817648"
